State	Commodity	plantedAllPurposeAcres	harvestedAcres	cropYield	production	pricePerUnit	productionValueDollars
ALABAMA	COTTON, UPLAND	450000	446000	790 LB / ACRE	734,000 480 LB BALES	0.684 $ / LB	220,147,000	
ALABAMA	COTTON, COTTONSEED	0	0		205,000 TONS	139 $ / TON	29,607,000	
ALABAMA	COTTON, PIMA	0	0			(NA) $ / LB		
ALABAMA	COTTON	450000	446000	790 LB / ACRE	734,000 480 LB BALES			
ALABAMA	HAY & HAYLAGE	0	0				218,550,000	
ALABAMA	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				218,550,000	
ALABAMA	HAY, (EXCL ALFALFA)	0	750000	3.1 TONS / ACRE	2,325,000 TONS	96 $ / TON	218,550,000	
ALABAMA	HAY	0	750000	3.1 TONS / ACRE	2,325,000 TONS	96 $ / TON	218,550,000	
ALABAMA	HAY, ALFALFA	0	0			(NA) $ / TON		
ALABAMA	CORN, GRAIN	0	320000	158 BU / ACRE	50,560,000 BU	5.14 $ / BU	209,824,000	
ALABAMA	CORN	330000	0					
ALABAMA	CORN, SILAGE	0	5000	16 TONS / ACRE	80,000 TONS			
ALABAMA	PEANUTS	185000	183000	3,400 LB / ACRE	622,200,000 LB	0.211 $ / LB	129,311,000	
ALABAMA	SOYBEANS	280000	275000	41 BU / ACRE	11,275,000 BU	11.7 $ / BU	121,770,000	
ALABAMA	WHEAT	135000	70000	72 BU / ACRE	5,040,000 BU	5.25 $ / BU	26,208,000	
ALABAMA	WHEAT, WINTER	135000	70000	72 BU / ACRE	5,040,000 BU	5.25 $ / BU	26,208,000	
ALASKA	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				8,760,000	
ALASKA	HAY & HAYLAGE	0	0				8,760,000	
ALASKA	HAY, (EXCL ALFALFA)	0	22000	1.1 TONS / ACRE	24,000 TONS	370 $ / TON	8,760,000	
ALASKA	HAY	0	22000	1.1 TONS / ACRE	24,000 TONS	370 $ / TON	8,760,000	
ALASKA	HAY, ALFALFA	0	0			(NA) $ / TON		
ALASKA	BARLEY	6000	5000	43 BU / ACRE	215,000 BU	5.1 $ / BU	1,097,000	
ALASKA	CUT FLOWERS	0	0					
ALASKA	BEDDING PLANTS, ANNUAL	0	0					
ALASKA	FOLIAGE PLANTS, INDOOR USE, POTS	0	0					
ALASKA	FOLIAGE PLANTS, INDOOR USE	0	0					
ALASKA	BEDDING PLANTS, HERBACEOUS PERENNIAL, POTS	0	0					
ALASKA	FLOWERING PLANTS, POTTED, INDOOR USE	0	0					
ARIZONA	HAY	0	310000	7.94 TONS / ACRE	2,460,000 TONS	183 $ / TON	444,300,000	
ARIZONA	HAY, ALFALFA	0	260000	8.5 TONS / ACRE	2,210,000 TONS	183 $ / TON	397,800,000	
ARIZONA	HAY, (EXCL ALFALFA)	0	50000	5 TONS / ACRE	250,000 TONS	186 $ / TON	46,500,000	
ARIZONA	HAY & HAYLAGE	0	0				444,300,000	
ARIZONA	HAY & HAYLAGE, ALFALFA	40000	0				397,800,000	
ARIZONA	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				46,500,000	
ARIZONA	LETTUCE, HEAD, FRESH MARKET	0	0			30.5 $ / CWT	321,851,000	
ARIZONA	LETTUCE, HEAD	34000	33500	315 CWT / ACRE	10,552,500 CWT	30.5 $ / CWT	321,851,000	
ARIZONA	LETTUCE, ROMAINE	23800	23700	320 CWT / ACRE	7,584,000 CWT	33.4 $ / CWT	253,306,000	
ARIZONA	LETTUCE, ROMAINE, FRESH MARKET	0	0			33.4 $ / CWT	253,306,000	
ARIZONA	LETTUCE, LEAF	9900	9800	245 CWT / ACRE	2,401,000 CWT	62.5 $ / CWT	150,063,000	
ARIZONA	LETTUCE, LEAF, FRESH MARKET	0	0			62.5 $ / CWT	150,063,000	
ARIZONA	LETTUCE, LEAF, UTILIZED	0	0		2,401,000 CWT			
ARIZONA	LETTUCE, ROMAINE, UTILIZED	0	0		7,584,000 CWT			
ARIZONA	LETTUCE, HEAD, UTILIZED	0	0		10,552,500 CWT			
ARIZONA	SPINACH, FRESH MARKET	0	0			67 $ / CWT	113,867,000	
ARIZONA	SPINACH	10300	10300	165 CWT / ACRE	1,699,500 CWT	67 $ / CWT	113,867,000	
ARIZONA	SPINACH, UTILIZED	0	0		1,699,500 CWT			
ARIZONA	COTTON, UPLAND	125000	123000	1,179 LB / ACRE	302,000 480 LB BALES	0.662 $ / LB	112,320,000	
ARIZONA	COTTON, COTTONSEED	0	0		171,000 TONS	278 $ / TON	30,015,000	
ARIZONA	COTTON	131500	129500	1,171 LB / ACRE	316,000 480 LB BALES			
ARIZONA	COTTON, PIMA	6500	6500	1,034 LB / ACRE	14,000 480 LB BALES	(D) $ / LB		
ARIZONA	BROCCOLI	10900	10800	140 CWT / ACRE	1,512,000 CWT	61.4 $ / CWT	92,837,000	
ARIZONA	BROCCOLI, UTILIZED	0	0		1,512,000 CWT			
ARIZONA	BROCCOLI, FRESH MARKET	0	0			(D) $ / CWT	(D)	
ARIZONA	BROCCOLI, PROCESSING	0	0			(D) $ / TON	(D)	
ARIZONA	MELONS, CANTALOUP, FRESH MARKET	0	0			27 $ / CWT	82,485,000	
ARIZONA	MELONS, CANTALOUP	13100	13000	235 CWT / ACRE	3,055,000 CWT	27 $ / CWT	82,485,000	
ARIZONA	MELONS, WATERMELON	4700	4700	445 CWT / ACRE	2,091,500 CWT	13.8 $ / CWT	28,863,000	
ARIZONA	MELONS, WATERMELON, UTILIZED	0	0		2,091,500 CWT			
ARIZONA	MELONS, CANTALOUP, UTILIZED	0	0		3,055,000 CWT			
ARIZONA	MELONS, WATERMELON, PROCESSING	0	0			(D) $ / TON	(D)	
ARIZONA	MELONS, WATERMELON, FRESH MARKET	0	0			(D) $ / CWT	(D)	
ARIZONA	CAULIFLOWER	6000	6000	195 CWT / ACRE	1,170,000 CWT	67.7 $ / CWT	79,209,000	
ARIZONA	CAULIFLOWER, UTILIZED	0	0		1,170,000 CWT			
ARIZONA	CAULIFLOWER, PROCESSING	0	0			(D) $ / TON	(D)	
ARIZONA	CAULIFLOWER, FRESH MARKET	0	0			(D) $ / CWT	(D)	
ARIZONA	DATES, UTILIZED	0	0		13,240 TONS		75,783,000	
ARIZONA	DATES	0	4000	3.33 TONS / ACRE	13,300 TONS	5,720 $ / TON		
ARIZONA	DATES, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
ARIZONA	DATES, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
ARIZONA	PECANS, UTILIZED, IN SHELL	0	0		29,500,000 LB		51,625,000	
ARIZONA	PECANS	0	21000	1,405 LB / ACRE		1.75 $ / LB		
ARIZONA	LEMONS	0	7300	247 BOXES / ACRE	38,475,000 $, ON TREE EQUIV	27.77 $ / BOX, PHD EQUIV	50,002,000	
ARIZONA	LEMONS, UTILIZED	0	0		72,000 TONS			
ARIZONA	LEMONS, FRESH MARKET	0	0		52,000 TONS	(D) $ / BOX, PHD EQUIV		
ARIZONA	LEMONS, PROCESSING	0	0		20,000 TONS	(D) $ / BOX, PHD EQUIV		
