state	farmLabel	farmValue
ALABAMA	Farm Operations - Area Operated, Measured in Acres / Operation	213
ALABAMA	Farm Operations - Number of Operations	39000
ALABAMA	Farm Operations - Acres Operated	8300000
ALABAMA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	697000
ALABAMA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	3000
ALABAMA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1290000
ALABAMA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	47000
ALABAMA	Goats, Milk - Inventory ( First of Jan. 2021 )	3700
ALABAMA	Hogs - Inventory ( First of Dec. 2020 )	12000
ALABAMA	Chickens, Broilers - Production, Measured in Head	1200900000
ALABAMA	Milk - Production, Measured in Lb / Head	15000
ALABAMA	Milk - Production, Measured in $	8235000
ALABAMA	Milk - Production, Measured in Lb	45000000
ALASKA	Farm Operations - Area Operated, Measured in Acres / Operation	810
ALASKA	Farm Operations - Number of Operations	1050
ALASKA	Farm Operations - Acres Operated	850000
ALASKA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	7300
ALASKA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	200
ALASKA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	17000
ALASKA	Hogs - Inventory ( First of Dec. 2020 )	1900
ARIZONA	Farm Operations - Area Operated, Measured in Acres / Operation	1379
ARIZONA	Farm Operations - Number of Operations	19000
ARIZONA	Farm Operations - Acres Operated	26200000
ARIZONA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	194000
ARIZONA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	196000
ARIZONA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	980000
ARIZONA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	265000
ARIZONA	Goats, Angora - Inventory ( First of Jan. 2021 )	21000
ARIZONA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	32000
ARIZONA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	110000
ARIZONA	Hogs - Inventory ( First of Dec. 2020 )	141000
ARIZONA	Milk - Production, Measured in Lb / Head	24568
ARIZONA	Milk - Production, Measured in $	792018000
ARIZONA	Milk - Production, Measured in Lb	4889000000
ARKANSAS	Farm Operations - Area Operated, Measured in Acres / Operation	332
ARKANSAS	Farm Operations - Number of Operations	42200
ARKANSAS	Farm Operations - Acres Operated	14000000
ARKANSAS	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	925000
ARKANSAS	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	5000
ARKANSAS	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1770000
ARKANSAS	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	31000
ARKANSAS	Goats, Milk - Inventory ( First of Jan. 2021 )	4000
ARKANSAS	Hogs - Inventory ( First of Dec. 2020 )	126000
ARKANSAS	Chickens, Broilers - Production, Measured in Head	1049700000
ARKANSAS	Turkeys - Production, Measured in Head	31000000
ARKANSAS	Milk - Production, Measured in Lb / Head	12800
ARKANSAS	Milk - Production, Measured in $	11456000
ARKANSAS	Milk - Production, Measured in Lb	64000000
CALIFORNIA	Farm Operations - Area Operated, Measured in Acres / Operation	349
CALIFORNIA	Farm Operations - Number of Operations	69600
CALIFORNIA	Farm Operations - Acres Operated	24300000
CALIFORNIA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	670000
CALIFORNIA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	1720000
CALIFORNIA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	5150000
